單字,詞性,中文解釋,例句,例句翻譯
abandon,v.,放棄,He abandoned his attempt to climb the mountain.,他放棄了攀登這座山的嘗試。
absolute,adj.,絕對的,There is no absolute standard for beauty.,美沒有絕對的標準。
academic,adj.,學術的,She has a brilliant academic record.,她有著輝煌的學術成績。
acceptable,adj.,可接受的,We need to find a solution that is acceptable to both sides.,我們需要找到一個雙方都能接受的解決方案。
accompany,v.,陪伴；伴隨,Children under 14 must be accompanied by an adult.,14歲以下的兒童必須由成人陪同。
accomplish,v.,完成；實現,If we work together we can accomplish our goal.,如果我們齊心協力，就能實現我們的目標。
accurate,adj.,準確的,The weather forecast was incredibly accurate.,天氣預報非常準確。
accuse,v.,指控；控告,He was accused of stealing the money.,他被指控偷了那筆錢。
achieve,v.,達成；實現,She worked hard to achieve her dreams.,她努力工作以實現她的夢想。
acquire,v.,獲得；取得,He acquired a lot of valuable experience.,他獲得了許多寶貴的經驗。
adapt,v.,適應,It took him a while to adapt to the new environment.,他花了一段時間才適應新環境。
adequate,adj.,足夠的；適當的,Make sure you take an adequate supply of water.,確保你帶了充足的水。
adjust,v.,調整；適應,You can adjust the height of the chair.,你可以調整椅子的高度。
admire,v.,欽佩；欣賞,I really admire your courage.,我非常欽佩你的勇氣。
admit,v.,承認；允許進入,He admitted that he had made a mistake.,他承認自己犯了一個錯誤。
adopt,v.,採用；收養,They decided to adopt a child.,他們決定收養一個孩子。
advance,n.,前進；進步,Recent advances in medicine have saved many lives.,醫學的最新進展拯救了許多生命。
advantage,n.,優勢；好處,Being tall is an advantage in basketball.,長得高在籃球運動中是一個優勢。
adventure,n.,冒險,They went on a thrilling adventure in the jungle.,他們在叢林中進行了一次驚心動魄的冒險。
advertise,v.,登廣告；宣傳,They are currently advertising for a new manager.,他們目前正在登廣告招聘新經理。
afford,v.,負擔得起,I cannot afford to buy a new car right now.,我現在買不起新車。
agency,n.,代理機構,She works for an advertising agency.,她在一家廣告代理公司工作。
aggressive,adj.,具侵略性的；積極的,He is known for his aggressive business tactics.,他以積極進取的商業策略而聞名。
agreement,n.,同意；協議,They finally reached an agreement after hours of discussion.,經過幾個小時的討論，他們終於達成了協議。
agriculture,n.,農業,The country economy depends heavily on agriculture.,這個國家的經濟嚴重依賴農業。
alcohol,n.,酒精,He does not drink alcohol.,他不喝酒。
alert,adj.,警覺的,A good guard dog must always be alert.,一隻好的看門狗必須時刻保持警覺。
allowance,n.,零用錢；津貼,His parents give him a weekly allowance.,他的父母每週給他零用錢。
ambition,n.,野心；抱負,She has a burning ambition to become a doctor.,她有著成為醫生的強烈抱負。
analyze,v.,分析,The scientist analyzed the data carefully.,科學家仔細分析了數據。
