單字,詞性,中文解釋,例句,例句翻譯
encounter,v.,遇到,Students may encounter difficulties when learning a new language.,學生在學習新語言時可能會遇到困難。
justify,v.,證明...是正當的,Can you justify your decision to quit the school club so suddenly?,你能解釋你為何如此突然退出社團的決定嗎？
exceed,v.,超過,Do not exceed the speed limit when driving.,開車時不要超速。
compensate,v.,補償,The company had to compensate customers for the delayed delivery.,公司必須為延遲交貨向客戶賠償。
culture,n.,文化,Taiwan has a rich and diverse culture influenced by various historical periods.,台灣擁有受不同歷史時期影響的豐富多元文化。
conform,v.,遵守,Students are expected to conform to the school's dress code.,學生應遵守學校的服裝規定。
ethical,adj.,倫理的,道德的,Scientists must adhere to strict ethical guidelines in their research.,科學家在研究中必須遵守嚴格的倫理準則。
ignorant,adj.,無知的,對歷史的無知可能導致人們重蹈覆轍。,Being ignorant of history can lead people to repeat past mistakes.
enlighten,v.,啟發,The documentary helped to enlighten me about global warming.,這部紀錄片幫助我了解了全球暖化。
assess,v.,評估；評定,The teacher will assess students' progress through various tests.,老師將通過各種測驗評估學生的進步。
drastic,adj.,劇烈的；嚴厲的,The government took drastic measures to control the pandemic.,政府採取了劇烈措施來控制疫情。
indispensable,adj.,不可或缺的,對於學生來說，網路已成為學習不可或缺的工具。,For students, the internet has become an indispensable tool for learning.
tolerate,v.,容忍,I cannot tolerate people who are constantly late for appointments.,我無法容忍那些總是約會遲到的人。
scrutinize,v.,詳細檢查,The teacher scrutinized every detail of the student's research paper.,老師仔細檢查了學生研究論文的每一個細節。
distribute,v.,分發；分配,The teacher will distribute the test papers after the class.,下課後老師會分發考卷。
resolve,v.,解決,他們最終成功解決了困擾他們多年的問題。,They finally managed to resolve the problem that had troubled them for years.
confine,v.,限制,He was confined to bed for several days due to a serious illness.,由於重病，他臥床數日。
evolve,v.,進化；發展,Technology continues to evolve at a rapid pace.,科技持續快速發展。
advocate,v.,提倡,Many students advocate for more environmental protection policies.,許多學生提倡更多的環境保護政策。
investigate,v.,調查；研究,The police will investigate the cause of the accident.,警方將調查事故原因。
harsh,adj.,嚴苛的,沙漠的氣候非常嚴苛，只有少數植物能生存。,The desert climate is very harsh, and only a few plants can survive.
attitude,n.,態度,A positive attitude can help you overcome challenges.,積極的態度可以幫助你克服挑戰。
context,n.,背景；上下文,You need to understand the historical context to fully appreciate the novel.,你需要理解歷史背景才能完全欣賞這部小說。
efficient,adj.,有效率的,Using a planner can help you study more efficiently.,使用規劃本可以幫助你更有效率地學習。
inflate,v.,使膨脹,她用打氣筒把氣球充氣膨脹。,She used a pump to inflate the balloon.
initiate,v.,開始,The company decided to initiate a new marketing campaign next month.,公司決定下個月啟動一項新的行銷活動。
