正面,背面
abandon,"(v.) 放棄；遺棄。常用搭配：abandon a plan (放棄計畫)。例句：The company decided to abandon the project due to lack of funding."
ability,"(n.) 能力；才能。常用搭配：have the ability to (有能力做...)。例句：She has an incredible ability to remember faces."
absolute,"(adj.) 絕對的；完全的。常用搭配：absolute certainty (絕對確定)。例句：There is no absolute truth in philosophy."
academic,"(adj.) 學術的。常用搭配：academic performance (學業成績)。例句：Good study habits contribute to excellent academic performance."
accept,"(v.) 接受。常用搭配：accept an invitation (接受邀請)。例句：I am happy to accept your invitation to the party."
access,"(n./v.) 接近；進入；使用權。常用搭配：have access to (有管道/權限使用...)。例句：Students have access to the library 24 hours a day."
accident,"(n.) 意外；事故。常用搭配：by accident (偶然地)。例句：The two cars crashed in a serious traffic accident."
accurate,"(adj.) 準確的。常用搭配：accurate information (準確的資訊)。例句：It's difficult to get an accurate prediction of the weather."
achieve,"(v.) 達成；實現。常用搭配：achieve a goal (達成目標)。例句：You can achieve anything if you work hard enough."
active,"(adj.) 積極的；活躍的。常用搭配：take an active part in (積極參與...)。例句：She is an active member of the school's drama club."
activity,"(n.) 活動。常用搭配：outdoor activities (戶外活動)。例句：The school offers a variety of extracurricular activities."
actual,"(adj.) 實際的；現實的。常用搭配：actual cost (實際成本)。例句：The actual cost of the repair was higher than the estimate."
adapt,"(v.) 適應；改編。常用搭配：adapt to the environment (適應環境)。例句：It took her a while to adapt to the new school."
add,"(v.) 增加。常用搭配：add to (增加...)。例句：If you add five to ten, you get fifteen."
addition,"(n.) 增加物；加法。常用搭配：in addition to (除了...之外)。例句：In addition to English, he speaks French and Spanish."
address,"(n./v.) 地址；致詞；處理。常用搭配：address a problem (處理問題)。例句：The president will address the nation tonight."
adjust,"(v.) 調整；適應。常用搭配：adjust to (調整以適應...)。例句：You can adjust the seat to make it more comfortable."
admire,"(v.) 欽佩；欣賞。常用搭配：admire someone for (因...而欽佩某人)。例句：I really admire her for her courage."
admit,"(v.) 承認；准許進入。常用搭配：admit a mistake (承認錯誤)。例句：He finally admitted that he had made a mistake."
adopt,"(v.) 採用；收養。常用搭配：adopt a suggestion (採納建議)。例句：The committee decided to adopt the new policy."
adult,"(n./adj.) 成人(的)。常用搭配：adult education (成人教育)。例句：Children must be accompanied by an adult."
advance,"(v./n.) 進步；前進。常用搭配：in advance (事先)。例句：Technology has made great advances in recent years."
advantage,"(n.) 優點；優勢。常用搭配：take advantage of (利用...)。例句：One advantage of living in a city is the convenience."
adventure,"(n.) 冒險。常用搭配：sense of adventure (冒險精神)。例句：The trip to the Amazon was a great adventure."
advertise,"(v.) 登廣告。常用搭配：advertise for (徵求...)。例句：They are advertising for a new sales manager."
advice,"(n.) 建議。常用搭配：piece of advice (一則建議)。例句：Let me give you a piece of advice."
advise,"(v.) 建議；勸告。常用搭配：advise someone to (建議某人做...)。例句：The doctor advised him to stop smoking."
affect,"(v.) 影響。常用搭配：deeply affect (深深影響)。例句：The bad weather will affect the harvest."
afford,"(v.) 負擔得起。常用搭配：afford to buy (買得起)。例句：I can't afford to buy a new car right now."
afraid,"(adj.) 害怕的。常用搭配：be afraid of (害怕...)。例句：Don't be afraid of making mistakes."
