正面,背面
Abandon,"[v.] 拋棄、放棄
[搭配詞] abandon a plan (放棄計劃)
[例句] The child was abandoned by his parents and was raised by his grandmother."
Brilliant,"[adj.] 出色的、才華橫溢的
[搭配詞] a brilliant idea (絕妙的主意)
[例句] He is a brilliant scientist who has won many awards."
Capacity,"[n.] 容量、能力
[搭配詞] filled to capacity (客滿、裝滿)
[例句] The stadium has a seating capacity of 50,000 people."
Delicate,"[adj.] 精緻的、脆弱的
[搭配詞] delicate skin (細嫩的皮膚)
[例句] These glasses are very delicate, so please handle them with care."
Efficient,"[adj.] 高效率的
[搭配詞] an efficient use of time (有效利用時間)
[例句] The new software makes the data processing much more efficient."
Flexible,"[adj.] 有彈性的、靈活的
[搭配詞] flexible working hours (彈性工作時間)
[例句] My schedule is quite flexible, so we can meet whenever you want."
Genuine,"[adj.] 真誠的、真正的
[搭配詞] genuine leather (真皮)
[例句] She showed genuine concern for the victims of the earthquake."
Hesitate,"[v.] 猶豫
[搭配詞] hesitate to do something (猶豫要做某事)
[例句] Please don't hesitate to ask if you have any questions."
Interaction,"[n.] 互動
[搭配詞] social interaction (社交互動)
[例句] The teacher encourages more interaction between students in class."
Justify,"[v.] 證明...為正當
[搭配詞] justify one's actions (為某人的行為辯護)
[例句] He tried to justify his absence by saying he was sick."
Knowledgeable,"[adj.] 博學的、知識淵博的
[搭配詞] knowledgeable about something (對某事很有見識)
[例句] Our tour guide was very knowledgeable about the history of the city."
Legend,"[n.] 傳說、傳奇人物
[搭配詞] local legend (當地的傳說)
[例句] According to legend, the castle is haunted by a ghost."
Motivation,"[n.] 動機、動力
[搭配詞] lack of motivation (缺乏動力)
[例句] Her main motivation for learning English is to work abroad."
Numerous,"[adj.] 許多的
[搭配詞] numerous times (許多次)
[例句] I have visited that museum on numerous occasions."
Obstacle,"[n.] 障礙
[搭配詞] overcome an obstacle (克服障礙)
[例句] Lack of funding is the biggest obstacle to the project."
Persuade,"[v.] 說服
[搭配詞] persuade someone to do something (說服某人做某事)
[例句] It was difficult to persuade her to change her mind."
Qualify,"[v.] 符合資格
[搭配詞] qualify for a discount (有資格獲得折扣)
[例句] You need to have three years of experience to qualify for this job."
Reluctant,"[adj.] 不情願的
[搭配詞] be reluctant to do something (不情願做某事)
[例句] He was reluctant to admit that he was wrong."
Significant,"[adj.] 重大的、顯著的
[搭配詞] a significant change (顯著的變化)
[例句] There has been a significant increase in sales this month."
Tendency,"[n.] 傾向
[搭配詞] have a tendency to do something (有做某事的傾向)
[例句] He has a tendency to forget things when he is busy."
Unique,"[adj.] 獨特的
[搭配詞] a unique opportunity (獨特的機會)
[例句] Each person's fingerprints are unique to them."
Variation,"[n.] 變化、變異
[搭配詞] wide variation (巨大的差異)
[例句] There is a lot of variation in the weather at this time of year."
Witness,"[v./n.] 目擊、證人
[搭配詞] witness an accident (目擊一場事故)
[例句] Police are looking for anyone who witnessed the crime."
Yield,"[v./n.] 產生、產量
[搭配詞] yield results (產生結果)
[例句] The new farming methods have greatly increased the crop yield."
Zeal,"[n.] 熱情、熱忱
[搭配詞] religious zeal (宗教熱忱)
[例句] He showed great zeal in his work and was soon promoted."
Acquire,"[v.] 獲得、習得
[搭配詞] acquire knowledge (獲得知識)
[例句] Students can acquire valuable skills through internship programs."
Barrier,"[n.] 礙物、隔閡
[搭配詞] language barrier (語言隔閡)
[例句] The great wall was originally built as a barrier against invaders."
Consequence,"[n.] 後果、結果
[搭配詞] suffer the consequences (承擔後果)
[例句] Every action has its own consequences, whether good or bad."
Distinguish,"[v.] 區分、辨別
[搭配詞] distinguish A from B (區分 A 與 B)
[例句] It's hard to distinguish between the two identical twins."
Emphasize,"[v.] 強調
[搭配詞] emphasize the importance of (強調...的重要性)
[例句] The teacher emphasized that the deadline would not be extended."
